comment_id,platform,source_id,source_url,Name,Date,Likes,Comment,Comment URL,abuse_type,char_len,lang
C00001,YouTube,VwxxFGVBpOg,https://www.youtube.com/watch?v=VwxxFGVBpOg,@MdMunna-e5b9i,2026-04-12 05:03:23,0,অসহায় মানুষদেরকে অবহেলা করাইয়াও করো তার প্রতিদান তোমরা পাচ্ছ,https://www.youtube.com/watch?v=VwxxFGVBpOg&lc=UgxHzGwyWLH7K3EmhFV4AaABAg,Neglect,62,bengali
C00002,YouTube,VwxxFGVBpOg,https://www.youtube.com/watch?v=VwxxFGVBpOg,@MunchurKha,2026-04-12 05:03:23,0,Ba ba a Gola Bora locker mena ara cotu locker me,https://www.youtube.com/watch?v=VwxxFGVBpOg&lc=UgyOENZqxk_Fl2Fq6mx4AaABAg,Neglect,48,latin
C00003,YouTube,VwxxFGVBpOg,https://www.youtube.com/watch?v=VwxxFGVBpOg,@FarukAhmad-u9k,2026-04-12 05:03:23,0,ধর্মীয় শিক্ষার অভাব ছিল।,https://www.youtube.com/watch?v=VwxxFGVBpOg&lc=UgyXv0ururrzRFNJT5N4AaABAg,Neglect,24,bengali
C00004,YouTube,VwxxFGVBpOg,https://www.youtube.com/watch?v=VwxxFGVBpOg,@mostafizkhan1338,2026-04-12 05:03:23,0,ছেলে মেয়েদের দুনিয়াতে বেঁচে থাকতে হয়তো বা বাবার কান্নার বিচার আল্লাহ করবে,https://www.youtube.com/watch?v=VwxxFGVBpOg&lc=Ugwrw5EPN8vuc7es4q54AaABAg,Neglect,76,bengali
C00005,YouTube,VwxxFGVBpOg,https://www.youtube.com/watch?v=VwxxFGVBpOg,@SamiyaJahan-i4b,2026-04-12 05:03:23,0,হায় আল্লাহ 😢😢,https://www.youtube.com/watch?v=VwxxFGVBpOg&lc=Ugx-078oiZUvv4bhUoR4AaABAg,Neglect,14,bengali
C00006,YouTube,VwxxFGVBpOg,https://www.youtube.com/watch?v=VwxxFGVBpOg,@MdjahangirHossain-r3h,2026-04-12 05:03:23,0,আপনি চিন্তা করবেন না আল্লাহ এর সঠিক বিচার করবেন জাহান্নামে এক বার ঢুকবে বের হওয়ার ক্ষমতা তার থাকবে না সে আপনাকে বের করছে আল্লাহ চাইলে তাকে দুনিয়ায় থেকে বের করে জাহান্নামে নিক্ষেপ করবে,https://www.youtube.com/watch?v=VwxxFGVBpOg&lc=Ugxkm798P8pameSgpQ14AaABAg,Neglect,183,bengali
C00007,YouTube,VwxxFGVBpOg,https://www.youtube.com/watch?v=VwxxFGVBpOg,@MalihaMaharin,2026-04-12 05:03:32,0,আল্লাহ তুমি তো আছো তাইনা??//,https://www.youtube.com/watch?v=VwxxFGVBpOg&lc=UgwSLF1AfXb3F9R6D794AaABAg,Neglect,28,bengali
C00008,YouTube,VwxxFGVBpOg,https://www.youtube.com/watch?v=VwxxFGVBpOg,@khaledhussan8409,2026-04-12 05:03:32,0,এই বাবা মায়েদের যারা এখানে রেখে গেছে তাদের পেছনে তাদের ছেলের বউদের হাত আছে। আর বউয়ের গোলাম ছেলে তার প্রতিবাদও করেনি। অবশ্য তারা যেনো সেখানে যাওয়ার জন্য প্রস্তুত থাকে।,https://www.youtube.com/watch?v=VwxxFGVBpOg&lc=UgwHsyjI2GD0GKyD2_d4AaABAg,Neglect,166,bengali
C00009,YouTube,VwxxFGVBpOg,https://www.youtube.com/watch?v=VwxxFGVBpOg,@MonirHossain-n7i,2026-04-12 05:03:32,0,যে সকল বাবা-মা সন্তানের উপার্জনের আশা বা অপেক্ষা করেসে সকল বাবা-মায়ের সন্তান জন্ম দেওয়া উচিত হয়নি🙏বিঃদ্রঃ সন্তান জন্ম দিয়েছি আমার শরীরের গরমকে শীতল করার জন্য❤সে সন্তানের উপার্জন আমি খাবো কেন?যেহেতু আমার সন্তানকে পৃথিবীতে আমি এনেছি সে তো সারা জীবন সন্তানকে আমি খাইয়ে এবং পড়িয়ে যাবো❤আমি কখনো সন্তানের কামাই খাওয়ার আশা করি না🙏🙏🙏,https://www.youtube.com/watch?v=VwxxFGVBpOg&lc=UgxDKzjOW1IMQo2ia-p4AaABAg,Neglect,333,bengali
C00010,YouTube,VwxxFGVBpOg,https://www.youtube.com/watch?v=VwxxFGVBpOg,@mdmozammelhoque2726,2026-04-12 05:03:32,0,Dhikkar janai oisob Santander jara bap maer kodor Korean... Ready theko for your future to stay at the old aged homes.,https://www.youtube.com/watch?v=VwxxFGVBpOg&lc=UgywvckEoiAOfe5DSh54AaABAg,Neglect,118,latin
C00011,YouTube,VwxxFGVBpOg,https://www.youtube.com/watch?v=VwxxFGVBpOg,@hafazuddin5499,2026-04-12 05:03:32,0,আমি বলছি সন্তানদের দোষ নয় যে মা বাবা দুনিয়ার লোভে পরে ছেলে মেয়েদের দুনিয়া শিক্ষা দিয়েছে এদের দোষ যেমন কর্ম তেমন ফল,https://www.youtube.com/watch?v=VwxxFGVBpOg&lc=Ugy5NNIb_1oazeQ3kY14AaABAg,Neglect,114,bengali
C00012,YouTube,VwxxFGVBpOg,https://www.youtube.com/watch?v=VwxxFGVBpOg,@hafazuddin5499,2026-04-12 05:03:32,0,ধিক্কার জানাই এমন কুলাংগার শিক্ষা কে এবং শিক্ষৎ অমানুষ দের,https://www.youtube.com/watch?v=VwxxFGVBpOg&lc=UgyXcRdY2RrHKzsGAq14AaABAg,Neglect,58,bengali
C00013,YouTube,VwxxFGVBpOg,https://www.youtube.com/watch?v=VwxxFGVBpOg,@ShifulIslam-f6v,2026-04-12 05:03:32,0,চার বাড়ির মালিক ছেলেদের বাড়ি ও পরিচয় প্রকাশ করুন।,https://www.youtube.com/watch?v=VwxxFGVBpOg&lc=UgxBu2ky4oiacsPYMSR4AaABAg,Neglect,49,bengali
